"lake","nsp","q","M","M.prime","qHt","qEt","qDT","qDTM"
"fox",7,1,0.477869914241321,0.557514899948208,26.271631888654,0.807130816665054,5.64991571665538,3.69992473898879
"frozen1",6,1,0.492052337602014,0.590462805122417,18.9094358616807,0.812858214138199,4.8771492848292,3.3998127064342
"frozen2",7,1,0.582975692831211,0.680138308303079,19.5860553210198,0.707681237852074,4.95376866496452,3.88792671958323
"heebeecheechee",11,1,0.33208311160544,0.365291422765984,17.5252740413473,0.428733936044235,4.71607329648659,2.56612829485659
"heron",7,1,0.294493534956682,0.343575790782795,9.85301340520019,0.525503396809699,3.6785237776679,2.08330147070762
"hidden",9,1,0.223568789700283,0.251514888412818,11.4960471452825,0.436361185397785,3.92725066858006,1.87801067882407
"island",11,1,0.413204756998089,0.454525232697898,19.6601946585433,0.451098556002891,4.96208411603181,3.050356761369
"jordan",6,1,0.566261103155286,0.679513323786344,11.7653219389701,0.661052073508144,3.96631244104886,3.24596845832687
"lake_37",6,1,0.0799759657328679,0.0959711588794415,5.33170024105301,0.477093703251561,2.86256221950936,1.22893617797568
"lake_below_tb",5,1,0.348370727957855,0.435463409947318,15.8497172343039,0.902489058724264,4.51244529362132,2.57200385180886
"lightening",7,1,0.226226329505332,0.26393071775622,10.960200489861,0.549737678423094,3.84816374896166,1.87055596026307
"lindsey",8,1,0.55414075418821,0.63330371907224,12.2398241078581,0.504261815558207,4.03409452446566,3.23545618225393
"little_island",9,1,0.414297056683326,0.466084188768742,9.79143509205165,0.407646927886338,3.66882235097704,2.51998230150379
"little_loch_ness",5,1,0.424265107992869,0.530331384991087,6.31793215726716,0.612559544141641,3.0627977207082,2.29943820573658
"little_mtnsheep",5,1,0.363603968988422,0.454504961235528,7.9908553464043,0.674137800406986,3.37068900203493,2.22559589936552
"little_seneca",6,1,0.321232847073827,0.385479416488593,5.25498603854647,0.474378444348051,2.84627066608831,1.91431562961027
"little_tayo",5,1,0.155820968199649,0.194776210249561,7.23015382331303,0.646997397555529,3.23498698777764,1.50407880454878
"lonesome",7,1,0.170947961954606,0.19943928894704,8.77480438024961,0.500590174125718,3.50413121888003,1.59902409028905
"lower_deepcreek",8,1,0.327492834874623,0.374277525570997,11.7098849307027,0.494788332068111,3.95830665654489,2.29631706825498
"lower_ice",7,1,0.0512115412154814,0.0597467980847282,5.04673628271979,0.400209134769862,2.80146394338903,1.14346728620055
"lower_twin",6,1,0.412950393846295,0.495540472615554,14.9621983105894,0.733380304084708,4.40028182450825,2.81709811246537
"lower_windy",6,1,0.066710652800065,0.080052783360078,7.20058827824517,0.538262762483405,3.22957657490043,1.21544716157941
"lucia",6,1,0.490686169057821,0.588823402869386,13.5892984769285,0.703353460177985,4.22012076106791,3.07075488920979
"mid_deepcreek",9,1,0.572625522058992,0.644203712316366,15.4882379636921,0.496349423615962,4.46714481254366,3.55800113039593
"mid_indian",6,1,0.0967011960301934,0.116041435236232,10.1806140333782,0.621607685968633,3.7296461158118,1.36066124016837
"miller",8,1,0.392202451927393,0.448231373631306,17.0940188542044,0.583076886345278,4.66461509076222,2.82947347589446
"mountain_sheep",6,1,0.128879259294513,0.154655111153416,7.11467987079259,0.535632394636084,3.21379436781651,1.41419143764907
"west_noname",7,1,0.309352230060617,0.36091093507072,9.55513620729599,0.518759344522779,3.63131541165945,2.12335552065034
"no_trowel",6,1,0.389483670225971,0.467380404271165,9.69466744467708,0.60891944649857,3.65351667899142,2.42298508536538
"north",7,1,0.282613391467774,0.329715623379069,10.5089630802401,0.540012262039908,3.78008583427936,2.06830287766498
